Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,304354.8827,298735.4356,295090,303600,312160,327430,340070,356590,365690,351070,355920,393150,404210.0071,426379.9968,457599.9913,458459.9946,465440.0082,486179.997,519309.9901,501940.0115,529639.9974,521760.0099,543439.9993,565430.013,587699.9924,574029.995,578510.0157,587509.9923,590040.0053,603030.0162
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,2380,2230,1390,1340,1290,1240,1180,1100,1040,810,760,730,1029.999971,1220.000029,1029.999971,1549.999952,1759.99999,1769.999981,3559.999943,4880.000114,7110.000134,8930.000305,8079.999924,5989.999771,4880.000114,5949.999809,5300.000191,4780.00021,6070.000172,6079.999924
Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,97925.79689,111479.4705,122740.5332,116094.9913,107217.436,117296.8446,135518.1059,135548.4073,130417.3648,133013.1875,141740,149460,141659.998,150990,150990.0027,155280.001,148879.9972,142610.0024,151339.9997,146719.9976,165489.9977,171780,177939.9958,193299.9976,201680.0019,198410.0025,206030.0013,204740.0005,211719.9993,220740
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,6560,6670,6880,9270,11300,12720,15440,16160,16770,17610,16200,15960,15689.99958,16760.00023,17450.00076,15810.00042,16559.99947,16969.99931,19280.00069,21149.99962,22799.99924,23870.00084,23870.00084,26959.99908,29629.99916,31649.99962,29760.00023,24250,23959.99908,25209.99908
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5980,4060,2220,2060,2070,1930,1940,1470,1790,2970,3170,3230,3759.99999,4070.000172,4250,4030.00021,4010.000229,4139.999866,4079.999924,4219.99979,4449.999809,4849.999905,4360.000134,4440.000057,4820.000172,4619.999886,4480.000019,5139.999866,5110.000134,4829.999924
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,410,410,410,410,410,430,450,470,490,510,520,520,529.9999714,529.9999714,560.0000024,579.9999833,550.0000119,540.0000215,540.0000215,519.9999809,519.9999809,490.0000095,490.0000095,479.9999893,460.0000083,469.9999988,469.9999988,469.9999988,490.0000095,500
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,636128.9932,638311.6162,692897.3074,746034.6222,790632.5502,814792.2757,843629.0505,884777.026,889715.5878,901624.4616,939191.7284,991061.7137,1024786.769,1055755.859,1112584.544,1188503.621,1251799.659,1303116.441,1408053.35,1455346.868,1541776.726,1574878.165,1683788.024,1713791.557,1771947.908,1818104.843,1838603.367,1858498.452,1836883.436,1886218.797
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,55210,61560,59700,63620,70780,75170,78530,81440,83450,85680,84730,97200,99150.00153,103819.9997,110010.0021,116459.9991,121559.9976,131830.0018,156050.0031,157020.0043,162789.9933,165600.0061,175589.9963,184470.0012,184759.9945,195240.0055,201080.0018,197039.9933,177119.9951,188860.0006
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,100320,105920,107930,110260,111910,112890,122550,126120,132670,134510,132270,125260,117470.0012,127660.0037,141380.0049,145990.0055,154899.9939,162809.9976,167229.9957,156570.0073,167220.0012,176639.9994,177960.0067,183250,179600.0061,185550.0031,183160.0037,179320.0073,176899.9939,168100.0061
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,19850,20690,10900,5040,2740,3510,2580,3340,3470,3110,3560,3600,3119.999886,3500,3759.99999,4460.000038,4489.999771,5199.999809,5690.000057,4510.000229,4340.000153,4940.000057,5719.99979,5500,5480.000019,5340.000153,5070.000172,5369.999886,5710.000038,6170.000076
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,210,220,290,250,250,270,280,290,320,330,330,350,389.9999857,409.9999964,400.000006,409.9999964,439.9999976,460.0000083,479.9999893,1389.999986,490.0000095,540.0000215,699.9999881,469.9999988,479.9999893,490.0000095,500,500,509.9999905,519.9999809
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,263630,264760,268400,273050,280180,290180,300810,307850,328620,333710,339450,345640,353369.9951,352579.9866,365809.9976,370089.9963,375489.9902,385750,388940.0024,395290.0085,387540.0085,386380.0049,386970.0012,380279.9988,371630.0049,377799.9878,384989.9902,389160.0037,387070.0073,386529.9988
