Country Name,Country Code,Indicator Name,Indicator Code,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,780.50854,773.8847059,783.3492641,779.9822573,777.8679554,775.8252098,766.1183418,770.2589096,766.995791,775.8175262,795.1449078,809.4975566,803.6015464,823.3921205,811.5417549,817.2567566,819.50697,824.5137853,791.2876564,770.0371954,773.3264169,732.6675014,742.8135585,743.1318435,751.6625831,750.55048,750.5874039,739.749343,740.7551886,727.1055914,732.364434,720.0369481,733.7822339,751.434195,742.7871137,736.8856407,749.8769833,773.6424968,759.7394135,749.1356994,743.4141883,722.2504827,719.0061759,734.2187569
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,509.7576721,514.3908213,525.8778134,529.0167311,531.9028223,539.1063453,550.7830141,558.2977106,559.6189679,565.2639961,571.1266824,578.7909994,571.9646951,561.5051521,564.9289861,559.4954925,563.5682184,561.5812042,565.0719355,561.6537857,577.0516292,584.1664634,580.2643032,557.3549615,558.5310893,569.9185856,573.2460668,565.8521825,575.6696261,544.713408,551.7317704,555.3548229,564.633169,571.0223182,577.4778488,570.6585176,575.1899973,577.8968984,563.7363317,588.1141271,600.9520392,614.840128,612.8216982,602.378095
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,623.3960585,651.3423741,627.9330458,620.3385111,585.9636246,560.4344703,534.4989513,568.3467604,556.7714315,547.7828637,532.1427194,506.3872839,501.9800668,489.1771444,500.4915943,488.5217372,483.4070924,486.3799326,480.7354309,497.3654617,492.6153584,479.5273812,481.1733459,472.3979613,456.7453596,454.6034825,449.2672589,433.6774244,441.0552543,438.5877643,443.0877698,448.3456086,467.5701882,464.4864386,433.1856337,458.5111153,471.5967013,492.0718795,515.3683584,520.7853388,520.9536739,550.6013667,531.0822633,540.8641156
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,426.6828191,576.1836323,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,421.6647848,425.484106,455.0710638,470.7514172,493.0820876,529.8900572,562.8388194,627.1376395,726.8715482,788.5661321,877.8071677,947.0804775,989.3643884,982.0833112,1007.666584,1023.652329,1076.38101,1137.585963,1164.277769,1073.389968,1090.521049,1174.150703,1221.60465,1260.837313,1261.019505,1281.786723,1299.865864,1288.586388,1272.81355,1272.863357,1337.705352,1373.016368,1364.85886,1413.727791,1467.576877,1531.096626,1557.63403,1635.939079,1677.457251,1735.212837,1703.940997,1802.870054,1759.610567,1916.305778
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2937.363757,2678.883089,2955.374978,2726.261548,3565.352212,4006.755382,5810.712431,5924.139781,6130.489008,7131.893165,8063.252377,8277.435746,7526.243322,9231.193788,9943.488245,10610.94494,10977.78488,10539.25892,11433.38803,10748.65471,11694.92174,10564.50973,10576.05236,11186.53822,11374.22247,11361.39789,11243.89548,10809.31044,10408.86529,9624.118219,11638.61944,10973.90836,10287.49322,10480.61534,10394.30034,9430.146109,8537.916952,8487.835981,7501.040582,7273.249301,7502.562096,7892.705906,7992.442167,7975.790608
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1389.076933,1389.35799,1422.373287,1426.516343,1388.744931,1414.730978,1429.330593,1433.837785,1489.969306,1491.921246,1434.061441,1420.028385,1423.680973,1452.124964,1365.23304,1426.582442,1482.249152,1509.791898,1445.864868,1411.35747,1434.324199,1487.619073,1471.831303,1544.760579,1546.508124,1583.493706,1614.730004,1650.726109,1659.768056,1660.520091,1562.311787,1502.209342,1590.841321,1720.311256,1712.85349,1844.265162,1849.452796,1928.326599,1856.096393,1928.652357,1952.051053,1936.80354,1967.021678,2029.922825
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,2167.292415,2245.913693,1155.555587,634.1662355,408.6162634,494.9524224,539.8924126,569.1223194,585.1744303,571.8792401,635.8167512,640.1723131,604.3013336,642.3967171,683.2776372,824.4519806,845.3995822,949.5581969,1006.920914,880.4687521,842.8221497,927.1390411,1019.273811,999.6470651,1023.809919
